set_id,ELEOMA,Car_Weight,Car_Type,CarProdYear
0000000576,DIESEL,5,일반탑차,2009
0000000577,DIESEL,2.5,일반탑차,2006
0000000578,DIESEL,5,일반탑차,2005
0000000579,DIESEL,14,조르다,2013
0000000580,DIESEL,5,일반탑차,2007
0000000581,DIESEL,14,조르다,2015
0000000582,DIESEL,3.5,일반탑차,2004
0000000583,DIESEL,14,조르다,2013
0000000584,DIESEL,3.5,일반탑차,2016
0000000585,DIESEL,5,일반탑차,2009
0000000586,DIESEL,14,조르다,2005
0000000587,DIESEL,5,일반탑차,2008
0000000588,DIESEL,3.5,일반탑차,2005
0000000590,DIESEL,5,조르다,1999
0000000591,DIESEL,3.5,일반탑차,2011
0000000592,DIESEL,3.5,일반탑차,2013
0000000593,DIESEL,5,일반탑차,2014
0000000594,DIESEL,5,일반탑차,2007
0000000595,DIESEL,3.5,일반탑차,2014
0000000596,DIESEL,5,조르다,2014
0000000597,DIESEL,5,조르다,2010
0000000598,DIESEL,5,일반탑차,2012
0000000599,DIESEL,3.5,일반탑차,2016
0000000600,DIESEL,14,조르다,2014
0000000602,DIESEL,3.5,일반탑차,2014
0000000603,DIESEL,5,일반탑차,2006
0000000604,DIESEL,4.5,조르다,2014
0000000605,DIESEL,2.5,일반탑차,2000
0000000606,DIESEL,3.5,일반탑차,2014
0000000607,DIESEL,5,냉동,2014
0000000609,DIESEL,5,냉동,2014
0000000610,DIESEL,3.5,일반탑차,2007
0000000612,DIESEL,14,조르다,2015
0000000613,DIESEL,14,조르다,2015
0000000614,DIESEL,2.5,일반탑차,2005
0000000615,DIESEL,14,조르다,2014
0000000616,DIESEL,2.5,일반탑차,2016
0000000617,DIESEL,14,조르다,2010
0000000618,DIESEL,5,일반탑차,2009
0000000619,DIESEL,8,일반탑차,2002
0000000620,DIESEL,3.5,일반탑차,2003
0000000621,DIESEL,5,일반탑차,2010
0000000622,DIESEL,8,일반탑차,2002
0000000623,DIESEL,2.5,일반탑차,2007
0000000624,DIESEL,2.5,일반탑차,2002
0000000625,DIESEL,2.5,일반탑차,2005
0000000626,DIESEL,3.5,일반탑차,2017
0000000627,DIESEL,5,일반탑차,2005
